,CT_Jurkat_Empty_H3K27ac,CT_Jurkat_Tax_H3K27ac,CT_TL-Om1_Empty_H3K27ac,CT_TL-Om1_Tax_H3K27ac
ADAD2,1.3255008198022842,1.2497396314144134,0.444595485329628,0.2272407366335392
ADAM10,16.915817822992803,39.882490273118016,25.335886400341987,23.514190263450146
ADAM11,2.6196289908885957,1.8591644462943078,1.0676364260911941,0.9668868497014046
ADAM12,0.2941199988126755,0.06678637355566025,0.09559562906622887,0.1391665074080229
ADAM15,5.045531726121903,5.470213903903961,11.440827107310295,11.696201973855496
ADAM17,10.863615852355958,24.30520612424612,39.61726964694262,51.870515932679176
ADAM18,0.0,0.0,0.0,0.0
ADAM19,0.4470623981952667,0.7471724873781205,0.14111726358532906,0.22872590839862825
ADAM2,0.0,0.0,0.0,0.0
ADAM20,0.8509872061014175,0.32767061188817026,0.34899997800588606,0.28962082520127297
ADAM21,0.4851019180417061,0.13065086957812308,0.2534042131900787,0.07515297710895538
ADAM22,3.965915108859539,4.364902884691953,17.30433414623141,15.840886969566345
ADAM23,0.16862879931926728,0.3130611622333527,5.329382747083902,5.464167342036962
ADAM28,0.4462780781984329,0.319948511838913,0.7523226536810398,0.2985318821668625
ADAM29,0.25098240077495576,0.20411582481861115,0.08224262660741806,0.1292154099047184
ADAM30,1.0784400087594985,0.9068337757885456,0.4521825930476189,0.3015030151605606
ADAM32,0.0,0.0,0.0,0.0
ADAM33,2.101978178024292,1.04228434330225,1.0488205407857896,1.0206516005694866
ADAM7,0.05882399976253509,0.13148561894893646,0.11532170176506043,0.1396121361851692
ADAM8,2.974141587615013,7.312682740092278,3.6241378355920313,3.1581973938047887
ADAM9,5.843968245744705,16.475346820831298,34.4687679079473,39.98273379647732
ADAMDEC1,0.2588256001472473,3.396709853112698,2.0727570873498915,5.031223623529076
ADAMTS1,4.841217170715332,6.439451222598553,1.2612556245923043,0.7992043017894029
ADAMTS10,1.5137376058101655,2.510748597830534,0.6555125360935926,0.3044732013344765
ADAMTS12,0.0,0.06052516639232636,0.0,0.0
ADAMTS13,3.560028935790062,3.9145119917988778,1.5216400296986103,1.1662049514949322
ADAMTS14,1.9529575043916703,0.8736492078900338,0.36781544947624206,0.22219091910123825
ADAMTS15,0.8509871995449066,0.4821139547228813,0.35051739290356637,0.11362049259245395
ADAMTS16,0.8509872150421143,0.30053863286972043,0.19422567784786224,0.21090336844325067
ADAMTS17,6.419660487771035,8.562212044298649,0.19422606095671655,0.04752752065658569
ADAMTS18,1.5419731372594834,0.49046243965625763,0.09559558600187301,0.13812666669487952
ADAMTS19,8.447519269168376,5.590430859833956,0.5568824791908265,0.24951931223273277
ADAMTS2,0.9333408039808273,0.06678636848926545,0.04855656147003174,0.04307181313633919
ADAMTS20,0.721574399471283,0.23646536734700202,0.3171346718072891,0.2064476019144058
ADAMTS3,1.2031466397047044,1.690528675019741,0.4628043168783188,0.36714997708797453
ADAMTS4,5.047884756326676,5.622154266119003,3.035390217065811,2.694508508682251
ADAMTS5,0.18039359927177429,0.11687605619430542,0.839723689109087,0.381704785823822
ADAMTS6,4.509840255379677,5.436823323667049,7.072561962604523,6.70433467850089
ADAMTS7,2.0047216492891313,0.9600539442896843,0.5310865423083305,0.8412362675070763
ADAMTS8,1.0545182583928108,0.5418043930530548,0.3902730107307434,0.48879030118882655
