,Empty,IRF4,Empty_Tax,IRF4_Tax
ABR,0.5408078492879868,1.0704936069250106,0.9401611502170563,1.1952024171352387
ABRA,0.9440417116880417,0.6953876942396164,1.0715621581375598,0.5463145178556442
ABRACL,24.685034586489202,19.08565591931343,24.7417129021883,26.448863216638564
ABRAXAS1,0.7044734281301498,0.48821424305438993,0.6870759630203247,0.48220633566379545
ABRAXAS2,30.937525920271874,26.834763262152673,24.345194784998895,25.5061909814477
ABT1,20.457482436895372,29.321706738173962,21.793758501291276,22.67065461742878
ABTB1,30.878236765265466,22.040336002111435,22.766077105998992,27.807676436901094
ABTB2,42.14031627357006,44.320161845088,35.2815218770504,43.68563679218292
ABTB3,19.637256776452066,19.024197078585626,18.025478969335555,17.681354368686677
ACAA1,63.99325185203552,58.9683124332428,54.43223670196533,57.08150112915039
ACAA2,16.459302506029605,20.333317166149616,18.90410274684429,21.2873043936491
ACACA,0.38900217056274417,0.19909433126449586,0.34932168781757356,0.2118363720178604
ACACB,4.069103472411633,4.662561086595058,2.5514386896938084,3.364014158964157
ACAD10,25.708308676362037,28.201010565280914,27.09327136683464,27.650192879319192
ACAD11,24.189768002033233,31.837803848266603,20.191737314403056,21.553773249149323
ACAD8,52.392431928157805,45.25560606467724,44.09183799910545,48.8120652244091
ACAD9,34.8014563229084,37.251450033187865,31.929429483175277,33.8441748239994
ACADL,0.3605387783050537,0.6220980674028397,0.4527301354557276,0.5137033427357673
ACADM,21.14250852870941,24.63664446055889,19.268923320114613,19.40196699857712
ACADS,20.99757037830353,21.516632553815842,18.53580998545885,21.229886380910873
ACADSB,46.13045745384693,44.56194508039951,39.00330584394932,44.193764238357545
ACADVL,10.999986194968223,10.790058153271675,9.20729427859187,9.64690643966198
ACAN,0.9369258518218995,0.9879707171916962,0.753239788711071,0.8144545377492904
ACAP1,57.75377574837208,45.92618539893627,38.74744491815567,43.75725449359417
ACAP2,60.81480537724495,67.38453963041306,51.01027233028412,56.355115870356556
ACAP3,25.21563830089569,22.68349488568306,20.854522324085234,21.829439289569855
ACAT1,1.236979333460331,1.1325302448868753,1.7720558041334151,0.9267836129665374
ACAT2,60.518312779664996,47.57779673814773,44.0261405479908,48.67772003769875
ACBD3,30.043311372995376,20.097000031471254,24.732698077082635,25.87411675924063
ACBD4,21.295498661398888,13.743287294507027,17.762212858200073,16.662589349746703
ACBD5,20.7807800116539,21.448532349944113,18.02501513108611,18.80715111398697
ACBD6,55.851689485192296,56.82732620596886,46.699935948520896,52.85869724810124
ACBD7,21.56162991142273,20.550590653419494,17.317115548193456,23.28859857237339
ACCS,0.4399996456503868,0.7588670921325683,0.6419653441011905,0.33447857946157455
ACCSL,0.3844955967068672,0.18466720581054688,0.555444534227252,0.6500030879378319
ACD,70.21252440333366,64.02185992002487,59.102502833008764,59.484151105880734
ACE,19.28667920124531,12.083589600086212,14.260662682056427,17.16820489740372
ACE2,0.0986737461090088,0.18466720581054688,0.07402847766876221,0.07135539853572845
ACER1,1.2746936933994293,1.1114667761325836,1.3167811015844344,0.6605949556827545
ACER2,23.60910795301199,23.164210918545724,19.50558362749219,21.14375939387083
ACER3,16.311053503751754,9.312426137447357,15.320196512520313,18.90944502454996
ACHE,11.745489150166511,10.780528012514115,10.893758378267288,12.136539093732834
ACIN1,101.85834648728371,115.67676389598846,84.56969734144211,99.30882116436959
ACKR1,1.066198155283928,1.7009597408771515,1.015577676296234,1.629188124537468
ACKR2,43.87374503481388,44.34844116687775,39.4576481808424,43.64717732906342
ACKR3,0.5004843968153,0.5136061549186707,0.617905905097723,0.7715297505855561
ACKR4,0.0972505670785904,0.5770855802297592,0.25678628191351893,0.09476890087127686
ACLY,29.125330176830293,32.44835331964493,26.702990710794925,28.224944746375083
ACMSD,0.1518057632446289,0.25391740798950196,0.24753272220492362,0.10368823373317719
ACO1,16.026181604146956,13.42502744793892,14.068191236019134,17.10493517571688
ACO2,82.83138201713562,72.1731754398346,64.70090740203858,77.07491954803467
ACOD1,0.27989187717437747,0.473210032582283,0.6179057698994875,0.37907562375068665
ACOT1,0.0,0.0,0.0,0.0
ACOT11,17.647417676985263,16.068654116630555,15.449747463524341,14.293926296591758
ACOT12,0.40513165926933287,0.44435558617115023,0.20566036452353,0.5967655138373374
ACOT13,33.405567868053915,34.20962067484856,29.244729515314102,34.05265893757343
ACOT2,5.253901342749596,6.31620016336441,4.4740968373417855,4.325918655395508
ACOT4,1.157281392931938,0.7992631697654724,1.0040104718506335,0.8696440267562866
ACOT6,1.1741226768493653,1.1354158276319504,1.0872929202020167,0.9894986009597778
ACOT7,42.36660860443115,31.76278295969963,35.57601671910286,42.30284276032448
ACOT8,55.50040660709143,61.01523529827595,50.53486668020487,49.34945751607418
ACOT9,0.5562258294224739,0.44724110901355746,0.36667203284800054,0.17978226274251938
ACOX1,60.75903456294537,69.44126157140732,53.069407788008455,56.000005794346336
ACOX2,4.672532462179661,5.58878401184082,4.064856839418411,5.01689290714264
ACOX3,23.466085168004035,22.062841409444808,20.415207046687602,21.040626339197157
ACOXL,1.1181440498828887,1.2063976823687554,0.9804135015606881,0.7963367732167244
ACP1,31.485454509258272,32.65437443494797,27.397494332790373,31.248634168505667
ACP2,28.534248386859893,28.941984382033347,24.429406045496464,20.655141493797302
ACP3,2.5593483209609986,1.3616331177949905,2.436231188580394,2.3577918705940246
ACP4,9.24591378211975,6.519621103405952,5.448034414052963,4.704993185997009
ACP5,0.7668561059832573,0.8676480603218079,0.8159322318285703,0.7336224308013916
ACP6,48.5303945171833,52.705224809408186,44.64797477486729,48.88788296556473
ACP7,1.7384122030138969,1.1997607807517052,1.3806309935748577,1.155064504146576
ACR,1.1124512946605682,1.6129544389247894,1.1178295314311981,1.3401428579092025
ACRBP,1.122413388669491,1.0722245043516159,1.2459908877313137,0.6494458281993866
ACRV1,1.0820901770591735,1.2009148499965667,0.7967303982079029,1.0106814774274826
ACSBG1,1.0702304145097732,0.7155863267183303,0.6759717034101487,1.3195169676542282
ACSBG2,0.479848457634449,0.885826188325882,0.44023786978423596,0.3381018299460411
ACSF2,14.245546121120453,15.482627423286438,12.899467454910278,14.046409794569016
ACSF3,1.3294860863685607,1.4369432064890861,1.618216182589531,0.7846301314234734
ACSL1,13.458999179601669,9.516137019395828,12.74909706234932,16.0950903891325
ACSL3,26.052696956157686,15.72557573568821,20.851516380995513,25.110390332221986
ACSL4,18.49254728358984,18.196368277072906,13.970102608010173,15.932869237065315
ACSL5,1.9877058637142182,1.241310842037201,1.701266300737858,1.739844678401947
ACSL6,6.373942388653755,9.322237642526627,6.784017444372177,7.515166635274887
ACSM1,0.4364416527748108,0.4847514396905899,0.5089452722668648,0.6327216094732284
ACSM2A,0.03795144081115723,0.0,0.07402847766876221,0.0891943621635437
ACSM2B,0.0,0.020197975635528564,0.04233503566682339,0.03902255117893219
ACSM3,0.6285704636573791,0.3837619078159332,0.5043186394870282,0.1092627944946289
ACSM4,1.591113689661026,1.0947312390804291,1.1807538562715054,1.2180583363771438
ACSM5,0.3667058140039444,0.506680988073349,0.43630503061413767,0.4376093459129333
ACSM6,0.4530453056097031,0.7963781636953354,0.30074062377214433,0.501717826128006
ACSS1,40.47519820094109,32.088833281993864,31.427409269809722,38.186263219714164
ACSS2,24.61340347647667,22.61424519991875,21.25728480821848,20.28999850654602
ACSS3,0.5374873424768448,0.5384208351373673,0.5658548170626163,0.1711414896249771
ACTA1,1.9748974879980088,1.7404896432161332,1.5874474198818207,1.3122694679498672
ACTA2,33.652014806509015,34.187405420541765,24.97328298699856,28.196509343206884
ACTB,27.053681501030923,22.61366845524311,24.323912821590902,26.584887425780295
ACTBL2,0.2988676130771637,0.576796989440918,0.825648054972291,0.6070784609913826
ACTC1,0.4855412877202034,0.6953879660367965,0.7668880002349615,0.3762886583805084
ACTG1,4.602321724832058,3.722489533007145,3.8728458618223667,5.1688019281625746
ACTG2,1.2557181663513184,1.0433706659078599,1.8932776088416576,0.42646008348464964
ACTL10,4.0745611020326615,3.3522888758182527,3.1156738643944264,3.3397644323110582
ACTL6A,64.30774707591533,73.181944100976,51.42805332040787,58.851436782360075
ACTL6B,2.4934082069396974,1.8853381437063217,3.069405497342348,2.053138508915901
ACTL7A,0.5564629538059235,0.8771697461605072,0.9993836626410484,0.8072077478170395
ACTL7B,0.9739286662340164,1.1357042813301086,0.8133873175978661,1.2007767276763917
ACTL8,0.3486789172887802,0.410018995821476,0.14805687725543976,0.3420043992400169
ACTL9,2.6969231569767,1.8279181265830993,2.4707008627057077,2.098850651681423
ACTMAP,88.48993638384343,107.51192004567385,74.7669497487545,87.87214860725403
ACTN1,18.80256416499615,16.71239410698414,13.570349334329366,17.443035339713095
ACTN2,0.38425835251808166,0.5251475864648819,0.8300434384644032,1.189906034052372
ACTN3,15.751034027934075,15.509172805547713,15.970490091741086,18.787920777201652
ACTN4,24.418663854062558,23.790339220762252,25.10931658247113,24.08771804791689
ACTR10,19.66595922768116,18.81298369526863,20.84596515059471,20.982932852506636
ACTR1A,121.53090109539032,136.9949062719345,103.83700996780395,115.57671027708054
