set,n_genes,CSI,collection,z,pct,risk
REACTOME_SIGNALING_BY_GPCR,618,2.9776819049845225,Reactome,5.3980241819994434,1.0,high
REACTOME_HEMOSTASIS,645,2.9730525628765063,Reactome,5.389635513211435,1.0,high
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,25,2.9713428257999803,Reactome,4.83903451627026,1.0,high
REACTOME_PARASITE_INFECTION,115,2.9647535560764005,Reactome,6.028729273446924,1.0,high
REACTOME_SIGNALING_BY_CSF3_G_CSF,30,2.956702221020076,Reactome,4.815022493495681,1.0,high
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,48,2.9478901593235767,Reactome,5.687726903438459,1.0,high
REACTOME_SIGNALING_BY_RETINOIC_ACID,39,2.9276379648960242,Reactome,5.647905804407211,1.0,high
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,29,2.925391389657475,Reactome,4.76366966981986,1.0,high
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,28,2.9224134440588285,Reactome,4.758785547981239,1.0,high
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,123,2.9204090804898244,Reactome,5.9360864678127605,1.0,high
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,25,2.9059057552997096,Reactome,4.7317113249966996,1.0,high
REACTOME_DAP12_SIGNALING,29,2.8836991433161243,Reactome,4.695290310925751,1.0,high
REACTOME_IRON_UPTAKE_AND_TRANSPORT,57,2.871615336130305,Reactome,5.537750697213716,1.0,high
REACTOME_INFLAMMASOMES,21,2.859491482547537,Reactome,4.655587381269971,1.0,high
HALLMARK_XENOBIOTIC_METABOLISM,190,2.856526350148504,Hallmark,3.166488316953298,0.9916666666666667,high
REACTOME_RHOJ_GTPASE_CYCLE,55,2.8564655724018095,Reactome,5.507962308410195,1.0,high
KEGG_GLYCEROLIPID_METABOLISM,45,2.8403283223728075,KEGG,5.476232263856472,1.0,high
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,19,2.834030652365897,Reactome,4.999408364716333,1.0,high
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,42,2.82522539518738,Reactome,5.446535967918565,1.0,high
KEGG_MEDICUS_VARIANT_MLL_AF4_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION,26,2.812271257201045,KEGG_MEDICUS,4.578141596516798,1.0,high
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,79,2.8061322150737316,Reactome,4.585305998014754,1.0,high
KEGG_ALLOGRAFT_REJECTION,35,2.787497646684552,KEGG,4.537510453959961,1.0,high
HALLMARK_IL6_JAK_STAT3_SIGNALING,85,2.765122755268658,Hallmark,4.516800606370686,1.0,high
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,101,2.754570908887108,Reactome,6.064489971224006,1.0,high
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION,26,2.7490196946409515,Reactome,4.474402851871125,1.0,high
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY,28,2.7256566109518854,KEGG_MEDICUS,4.43608511117258,1.0,high
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL,25,2.716393938930895,KEGG_MEDICUS,4.420893423748112,1.0,high
KEGG_ASTHMA,26,2.6856860283489024,KEGG,4.370529449080435,1.0,high
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,69,2.6825816480392803,Reactome,4.378917520264197,1.0,high
REACTOME_VIRAL_INFECTION_PATHWAYS,1084,2.6403712036050804,Reactome,4.786795267285371,1.0,high
REACTOME_THE_NLRP3_INFLAMMASOME,16,2.6379481929217237,Reactome,4.6561008764553415,1.0,high
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,26,2.63257818642362,Reactome,4.283427397697352,1.0,high
REACTOME_EPH_EPHRIN_SIGNALING,90,2.6253722228512,Reactome,5.7746666207483415,1.0,high
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,69,2.6229415758373937,Reactome,4.279290104460848,1.0,high
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,44,2.599975707029352,Reactome,5.003636302354641,1.0,high
KEGG_GALACTOSE_METABOLISM,25,2.558986015875801,KEGG,4.1627290452870405,1.0,high
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,18,2.557887104732988,Reactome,4.515927343486464,1.0,high
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,111,2.55594319240537,Reactome,5.618920809072711,1.0,high
