Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM831240,0.0573696361720671,0,0.00193637198062219,0.079709355328305,0.0891648577905831,0.271660461104723,0.202916061110271,0,0,0,0.108475865104119,0,0.139037643598228,0.011278569698179,0,0.0154432083836655,0,0.00886280114967138,0,0,0.0141451685795655,0,0,0.473133846178456,0.880703438544469
GSM831241,0,0,0.0159870491982868,0.111924720366746,0.0327416736542595,0.358043804984798,0.0612298730646145,0.05174076681196,0.190964064983089,0,0.0155880767975541,0.0115641844271422,0.0984000564738407,0,0,0.00585474878301727,0,0,0,0.0303665211566037,0.0155944592980885,0,0,0.346916710494853,0.955521648838149
GSM831242,0.0282197674003543,0,0,0.132337173513487,0.172145567209296,0.162854696554486,0.0316996589641,0.232330030268968,0.0662457123698817,0,0.0222689672945065,0,0.100357709352607,0.0019982094794273,0,0.0141400741718787,0,0.00460500278212153,0,0.0188237763041519,0.0119736543347331,0,0,0.444258667703595,0.90108428569668
GSM831243,0.0177880788550904,0,0,0.0114686361757622,0,0.361125111541917,0.0148780756805683,0.096972115819967,0.221670172837565,0,0.0328912596618141,0.0433822953586911,0.138149061124139,0.00310861243966442,0,0.0138517692788537,0,0.00174826290500421,0.0230734192277449,0,0.01989312909322,0,0,0.430109556996216,0.906131247058577
GSM831244,0,0.00525725592826086,0.0294298397559159,0.0944328445622216,0,0.449877065644822,0.0695188217710357,0.0231121230838336,0.0914504648832002,0,0.0947608495552461,0,0.0363921768001935,0.0617907188620633,0,0.0110173540469732,0,0.00149566618219854,0,0.0314648189240349,0,0,0,0.435442471669209,0.904224929461652
GSM831245,0,0.00225741500010336,0.00788283404286613,0.0302199497260718,0.10964218378018,0.406957813124105,0.0707514793177612,0.00559749916806816,0.0815344985702032,0,0.0553266883872868,0,0.172092644642774,0.00696255170732273,0,0,0,0.0110310984549799,0,0.00917905349478543,0.0305642905834928,0,0,0.261021122101357,0.994374448849208
GSM831246,0.0160051480567687,0,0.00296381495731343,0.0421588323258653,0.0801264142596998,0.436866858675895,0.0417874248111615,0,0.0546818142754638,0,0.0887434700352182,0,0.105479143195737,0.0485699250923058,0,0.0133187173616956,0,0.0217801942453881,0,0.0210679173192509,0.026450325388237,0,0,0.334678856009998,0.955766740058284
GSM831247,0,0.0134696510412065,0.00812952154235512,0.0148547662077077,0.130875989624854,0.304507544267739,0.00796684805313255,0.163588964350131,0.215987988819998,0,0.0233962373280767,0.00131679954196397,0.063291673859003,0.000262535945663711,0,0.00626748523995635,0,0.00628671226391695,0,0.00299293609663377,0.0368043458176606,0,0,0.366651830596162,0.950862294794084
GSM831248,0.0279111541433682,0,0,0.000528240334623727,0.0690196183621151,0.455816042667175,0.00832897510458038,0.0874913872691157,0.179090159898769,0,0.0737454974302403,0.0188794203181186,0.0157498646375059,0.00868059176996794,0.000205758587382977,0.0197235071346397,0.00320082358868156,0,0,0.00242013246278975,0.0292088262909254,0,0,0.271985735982331,1.00816723376657
GSM831249,0,0.0159346743828568,0.0140440748213335,0.0827064961288024,0.0655027715779817,0.113068144576738,0.0253694924205061,0.11933955176516,0.0774866795856297,0,0.0376489287216402,0.000750619249653867,0.374437511991112,0.00114022066807936,0,0,0,0.0160663079995556,0,0.0360694544826834,0.0204350716282682,0,0,0.417714875806791,0.909245200691162
GSM831250,0,0.0132837718745965,0.00938503250820976,0.06203464481676,0,0.334006096925448,0.0224904410110263,0.140623636922967,0.181414379828353,0,0.019204212146094,0.059227702911422,0.0961070214544063,0.0157193045962359,0,0.0205397639324912,0.000496554050831279,0.000652329975582126,0,0,0.0248151070455773,0,0,0.370865705183334,0.941763089158025
GSM831251,0.0203595499606491,0,0.00321282275938502,0.0246022994409008,0.0665812337761393,0.180162448671614,0.0254947883354866,0.187926289351021,0.166362705365714,0,0.0989936893600274,0,0.170728544361417,0,0,0.00833089841093593,0.00214695325125708,0.0119094839255307,0,0.0137082993291816,0.0194799937007396,0,0,0.338409589909937,0.953106937178613
GSM831252,0,0.0577403819945481,0.0153350600569732,0.0512632344058153,0.177378789465166,0.454885473850419,0,0.060291429432195,0.0875758627861163,0,0.00332742476047043,0.0473039408594491,0.0216013631580672,0.0066245765211174,0,0.00904898178711023,0.00152917540190865,0.00155376715809289,0,0,0.00454053836255043,0,0,0.431457345629886,0.917123634411308
GSM831253,0,0.0333178117192522,0,0.0707131639464108,0,0.569021056878506,0.0399182834830034,0.0142003876575546,0.0470350373376821,0,0.0269378633866456,0.00846369350388842,0.115611170099363,0,0,0.0105844101169048,0,0.00580274793068043,0,0.0484734637079787,0.00992091023212937,0,0,0.409863436163061,0.919552525971225
